Product Name,Brand,Category,Base Price (AED),Color Options,Specification Variants & Price Boosts,Short Description
"MacBook Air 13"" M3 (2024)",Apple,laptops,3200,"Midnight, Starlight, Space Gray, Silver",8GB RAM / 256GB SSD (+AED 0); 8GB RAM / 512GB SSD (+AED 300); 16GB RAM / 512GB SSD (+AED 550); 16GB RAM / 1TB SSD (+AED 850); 24GB RAM / 1TB SSD (+AED 1200),"Apple M3 chip with 8-core CPU, 8-core or 10-core GPU, 13.6"" Liquid Retina display."
"MacBook Air 15"" M3 (2024)",Apple,laptops,3800,"Midnight, Starlight, Space Gray, Silver",8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 600); 16GB RAM / 1TB SSD (+AED 900); 24GB RAM / 2TB SSD (+AED 1600),"Apple M3 chip, 15.3"" Liquid Retina display, 10-core GPU, 6-speaker sound system."
"MacBook Air 13"" M2 (2022)",Apple,laptops,2400,"Midnight, Starlight, Space Gray, Silver",8GB RAM / 256GB SSD (+AED 0); 8GB RAM / 512GB SSD (+AED 250); 16GB RAM / 512GB SSD (+AED 450); 16GB RAM / 1TB SSD (+AED 750); 24GB RAM / 1TB SSD (+AED 1050),"Apple M2 chip with 8-core CPU, 8/10-core GPU, 13.6"" Liquid Retina display, MagSafe 3."
"MacBook Air 15"" M2 (2023)",Apple,laptops,2900,"Midnight, Starlight, Space Gray, Silver",8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 500); 16GB RAM / 1TB SSD (+AED 800); 24GB RAM / 1TB SSD (+AED 1100),"Apple M2 chip, 15.3"" Liquid Retina display, 10-core GPU, fanless design."
"MacBook Air 13"" M1 (2020)",Apple,laptops,1600,"Space Gray, Silver, Gold",8GB RAM / 256GB SSD (+AED 0); 8GB RAM / 512GB SSD (+AED 200); 16GB RAM / 512GB SSD (+AED 350); 16GB RAM / 1TB SSD (+AED 600),"Apple M1 chip with 8-core CPU, 7/8-core GPU, 13.3"" Retina display, fanless design."
"MacBook Pro 14"" M3 (2023)",Apple,laptops,4200,"Space Gray, Silver",8GB RAM / 512GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 400); 16GB RAM / 1TB SSD (+AED 750); 24GB RAM / 1TB SSD (+AED 1100),"Apple M3 chip with 8-core CPU, 10-core GPU, 14.2"" Liquid Retina XDR 120Hz display."
"MacBook Pro 14"" M3 Pro / Max (2023)",Apple,laptops,5200,"Space Black, Silver",18GB RAM / 512GB SSD (+AED 0); 18GB RAM / 1TB SSD (+AED 500); 36GB RAM / 1TB SSD (+AED 1100); 48GB RAM / 1TB SSD (+AED 1600); 64GB RAM / 2TB SSD (+AED 2400); 128GB RAM / 4TB SSD (+AED 4200),"Apple M3 Pro/Max chip, 14.2"" Liquid Retina XDR display, HDMI, SDXC, MagSafe 3."
"MacBook Pro 16"" M3 Pro / Max (2023)",Apple,laptops,6400,"Space Black, Silver",18GB RAM / 512GB SSD (+AED 0); 36GB RAM / 512GB SSD (+AED 700); 36GB RAM / 1TB SSD (+AED 1100); 48GB RAM / 1TB SSD (+AED 1700); 64GB RAM / 2TB SSD (+AED 2600); 128GB RAM / 4TB SSD (+AED 4500),"Apple M3 Pro/Max chip, 16.2"" Liquid Retina XDR display, up to 40-core GPU."
"MacBook Pro 14"" M2 Pro / Max (2023)",Apple,laptops,4100,"Space Gray, Silver",16GB RAM / 512GB SSD (+AED 0); 16GB RAM / 1TB SSD (+AED 450); 32GB RAM / 1TB SSD (+AED 950); 64GB RAM / 2TB SSD (+AED 2000); 96GB RAM / 4TB SSD (+AED 3600),"Apple M2 Pro/Max chip, 14.2"" Liquid Retina XDR display, 10/12-core CPU, up to 38-core GPU."
"MacBook Pro 16"" M2 Pro / Max (2023)",Apple,laptops,5100,"Space Gray, Silver",16GB RAM / 512GB SSD (+AED 0); 32GB RAM / 512GB SSD (+AED 600); 32GB RAM / 1TB SSD (+AED 1000); 64GB RAM / 2TB SSD (+AED 2200); 96GB RAM / 4TB SSD (+AED 3800),"Apple M2 Pro/Max chip, 16.2"" Liquid Retina XDR display, HDMI 2.1, Wi-Fi 6E."
"MacBook Pro 14"" M1 Pro / Max (2021)",Apple,laptops,3200,"Space Gray, Silver",16GB RAM / 512GB SSD (+AED 0); 16GB RAM / 1TB SSD (+AED 400); 32GB RAM / 1TB SSD (+AED 800); 64GB RAM / 2TB SSD (+AED 1700),"Apple M1 Pro/Max chip, 14.2"" ProMotion 120Hz Liquid Retina XDR display, MagSafe 3."
"MacBook Pro 16"" M1 Pro / Max (2021)",Apple,laptops,4000,"Space Gray, Silver",16GB RAM / 512GB SSD (+AED 0); 32GB RAM / 512GB SSD (+AED 500); 32GB RAM / 1TB SSD (+AED 850); 64GB RAM / 2TB SSD (+AED 1900),"Apple M1 Pro/Max chip, 16.2"" ProMotion Liquid Retina XDR display, 10-core CPU."
"MacBook Pro 13"" M2 (2022)",Apple,laptops,2200,"Space Gray, Silver",8GB RAM / 256GB SSD (+AED 0); 8GB RAM / 512GB SSD (+AED 250); 16GB RAM / 512GB SSD (+AED 450); 24GB RAM / 1TB SSD (+AED 900),"Apple M2 chip with Touch Bar, 13.3"" Retina display, active cooling fan."
