Product Name,Brand,Category,Base Price (AED),Color Options,Specification Variants & Price Boosts,Short Description
Dell XPS 16 9640 (2024),Dell,laptops,4800,"Platinum, Graphite",16GB RAM / 512GB SSD / RTX 4050 (+AED 0); 32GB RAM / 1TB SSD / RTX 4060 (+AED 800); 64GB RAM / 2TB SSD / RTX 4070 (+AED 1800),"Intel Core Ultra 7/9, 16.3"" 4K+ OLED Touchscreen, CNC Machined Aluminum, RTX 40-series GPU."
Dell XPS 14 9440 (2024),Dell,laptops,3900,"Platinum, Graphite",16GB RAM / 512GB SSD / Intel Arc (+AED 0); 32GB RAM / 1TB SSD / RTX 4050 (+AED 700); 64GB RAM / 2TB SSD / RTX 4050 (+AED 1400),"Intel Core Ultra 7, 14.5"" 3.2K OLED Touch, Seamless Glass Touchpad, Gorilla Glass Victus."
Dell XPS 15 9530 (2023),Dell,laptops,3400,"Platinum Silver, Carbon Fiber Black",16GB RAM / 512GB SSD / RTX 4050 (+AED 0); 32GB RAM / 1TB SSD / RTX 4060 (+AED 600); 64GB RAM / 2TB SSD / RTX 4070 (+AED 1300),"13th Gen Intel Core i7/i9, 15.6"" 3.5K OLED Touch, Quad Speaker System, Carbon Fiber Palm Rest."
Dell XPS 17 9730 (2023),Dell,laptops,4100,Platinum Silver,16GB RAM / 512GB SSD / RTX 4060 (+AED 0); 32GB RAM / 1TB SSD / RTX 4070 (+AED 750); 64GB RAM / 2TB SSD / RTX 4080 (+AED 1700),"13th Gen Intel Core i7/i9, 17.0"" 4K UHD+ Touch, Vapor Chamber Cooling, 4x Thunderbolt 4."
Dell XPS 13 Plus 9320 (2022-2023),Dell,laptops,2800,"Platinum, Graphite",16GB RAM / 512GB SSD (+AED 0); 32GB RAM / 1TB SSD (+AED 500); 32GB RAM / 2TB SSD (+AED 900),"12th/13th Gen Intel Core i7, Capacitive Touch Function Row, Zero-Lattice Keyboard, 3.5K OLED."
Dell XPS 15 9500 / 9510 / 9520 (2020-2022),Dell,laptops,2200,"Platinum Silver, Frost White",16GB RAM / 512GB SSD / GTX 1650 Ti (+AED 0); 16GB RAM / 1TB SSD / RTX 3050 Ti (+AED 400); 32GB RAM / 1TB SSD / RTX 3050 Ti (+AED 750),"10th-12th Gen Intel Core i7/i9, 15.6"" 4K UHD+ Touch display, Waves MaxxAudio Pro."
Dell XPS 13 9300 / 9310 (2020-2021),Dell,laptops,1600,"Platinum Silver, Arctic White",8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 300); 16GB RAM / 1TB SSD (+AED 500),"10th/11th Gen Intel Core i5/i7, 13.4"" 4K UHD+ InfinityEdge Display, Thunderbolt 4."
Dell XPS 15 9560 / 9570 / 7590 (2017-2019),Dell,laptops,1400,"Silver, Black Carbon",16GB RAM / 512GB SSD / GTX 1050 Ti (+AED 0); 32GB RAM / 1TB SSD / GTX 1650 (+AED 350),"7th-9th Gen Intel Core i7/i9, 15.6"" 4K OLED/4K Touch Display, NVIDIA GTX Graphics."
Dell XPS 13 9343 / 9350 / 9360 / 9370 (2015-2018),Dell,laptops,950,"Silver, Rose Gold",8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 200),"5th-8th Gen Intel Core i5/i7, 13.3"" QHD+ InfinityEdge Touch screen, Machined Aluminum."
Dell XPS 15 L501X / L502X / 9530 (2010-2014),Dell,laptops,550,Anodized Aluminum Silver,8GB RAM / 500GB HDD (+AED 0); 16GB RAM / 256GB SSD (+AED 150),"Intel 1st-4th Gen Core i5/i7, JBL Speakers with Subwoofer, NVIDIA GeForce GT Graphics."
Dell Alienware m16 / m18 R2 (2024),Dell,laptops,5200,Dark Metallic Moon,16GB RAM / 1TB SSD / RTX 4070 (+AED 0); 32GB RAM / 1TB SSD / RTX 4080 (+AED 1100); 64GB RAM / 2TB SSD / RTX 4090 (+AED 2400),"14th Gen Intel Core i9-14900HX, 240Hz QHD+ Display, Element 31 Thermal Interface, CherryMX Mechanical Keyboard."
Dell Alienware x16 / x14 R2 (2023),Dell,laptops,4200,Lunar Light,16GB RAM / 1TB SSD / RTX 4060 (+AED 0); 32GB RAM / 1TB SSD / RTX 4070 (+AED 800); 32GB RAM / 2TB SSD / RTX 4080 (+AED 1600),"Ultra-thin gaming laptop, 13th Gen Intel Core i7/i9, Legend 3.0 design, AlienFX RGB Lighting."
Dell Alienware m15 R6 / R7 (2021-2022),Dell,laptops,2800,"Dark Side of the Moon, Lunar Light",16GB RAM / 512GB SSD / RTX 3060 (+AED 0); 16GB RAM / 1TB SSD / RTX 3070 Ti (+AED 500); 32GB RAM / 1TB SSD / RTX 3080 (+AED 1000),"11th/12th Gen Intel Core i7/i9, 15.6"" 240Hz/360Hz Gaming Display, Cryo-Tech Cooling."
Dell Alienware 17 R4 / R5 (2016-2018),Dell,laptops,1600,Epic Silver,16GB RAM / 512GB SSD / GTX 1070 (+AED 0); 32GB RAM / 1TB SSD / GTX 1080 (+AED 400),"7th/8th Gen Intel Core i7/i9, Tobii Eye Tracking, 17.3"" QHD 120Hz, NVIDIA GTX 10-series."
Dell Alienware M17x R3 / R4 / 18 (2011-2015),Dell,laptops,850,"Stealth Black, Nebula Red",12GB RAM / 750GB HDD / GTX 675M (+AED 0); 16GB RAM / 512GB SSD / GTX 880M SLI (+AED 300),"Intel 2nd-4th Gen Core i7, Dual SLI Graphics, 17.3"" / 18.4"" Full HD display, Anodized Aluminum chassis."
Dell Latitude 7440 / 7430 (2022-2023),Dell,laptops,2400,"Titan Gray, Aluminum Silver",16GB RAM / 512GB SSD (+AED 0); 32GB RAM / 1TB SSD (+AED 450),"12th/13th Gen Intel Core i5/i7 vPro, 14.0"" FHD+ 16:10 display, Magnesium/Aluminum Chassis, Wi-Fi 6E."
Dell Latitude 5440 / 5430 (2022-2023),Dell,laptops,1800,Gray,8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 250); 32GB RAM / 1TB SSD (+AED 500),"12th/13th Gen Intel Core i5/i7, 14.0"" Full HD, Bio-based materials, ExpressCharge."
Dell Latitude 7400 / 7490 / 7480 (2017-2019),Dell,laptops,1100,Black Carbon Fiber,8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 200),"7th/8th Gen Intel Core i5/i7, 14.0"" FHD Anti-Glare display, SmartCard Reader, Military-Grade Durability."
Dell Latitude E7470 / E7450 / E7440 (2014-2016),Dell,laptops,650,Black,8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 150),"4th-6th Gen Intel Core i5/i7, Tri-metal alloy chassis, 14.0"" Full HD, Docking connector."
Dell Latitude E6430 / E6420 / E6410 (2010-2013),Dell,laptops,400,Brushed Aluminum Gray,4GB RAM / 320GB HDD (+AED 0); 8GB RAM / 256GB SSD (+AED 120),"Intel 1st-3rd Gen Core i5/i7, Tri-Metal Casing, DVD-RW drive, Spill-Resistant Keyboard."
Dell G15 5530 / G16 7630 Gaming (2023-2024),Dell,laptops,2900,"Dark Shadow Gray, Quantum White",16GB RAM / 512GB SSD / RTX 4050 (+AED 0); 16GB RAM / 1TB SSD / RTX 4060 (+AED 450); 32GB RAM / 1TB SSD / RTX 4070 (+AED 950),"13th Gen Intel Core i7/i9, 15.6""/16.0"" 165Hz/240Hz Display, Alienware-inspired Cooling."
Dell Inspiron 16 Plus 7630 / 7620 (2022-2023),Dell,laptops,2200,"Dark Green, Ice Blue",16GB RAM / 512GB SSD / RTX 3050 (+AED 0); 32GB RAM / 1TB SSD / RTX 4060 (+AED 600),"12th/13th Gen Intel Core i7 H-Series, 16.0"" 2.5K/3K 120Hz display, Quad Speakers."
Dell Inspiron 15 3511 / 5510 / 5502 (2020-2022),Dell,laptops,1200,"Carbon Black, Platinum Silver",8GB RAM / 256GB SSD (+AED 0); 16GB RAM / 512GB SSD (+AED 200),"11th/12th Gen Intel Core i5/i7, 15.6"" FHD Anti-Glare display, Lift Hinge design."
Dell Inspiron 15 7000 Gaming 7567 / 7577 (2016-2018),Dell,laptops,950,"Matte Black, Beijing Red",8GB RAM / 128GB SSD + 1TB HDD / GTX 1050 (+AED 0); 16GB RAM / 512GB SSD / GTX 1060 Max-Q (+AED 250),"7th/8th Gen Intel Core i5/i7, Dual Fan Thermal Cooling, Red Backlit Keyboard, NVIDIA GTX graphics."
Dell Inspiron 15R 5520 / N5110 / N5010 (2010-2013),Dell,laptops,350,"Switch Changeable Lids (Black, Red, Blue)",4GB RAM / 500GB HDD (+AED 0); 8GB RAM / 246GB SSD (+AED 100),"Intel 1st-3rd Gen Core i3/i5/i7, 15.6"" HD TruLife display, SWITCH by Design Studio interchangeable covers."
Dell Precision 5680 / 5570 Mobile Workstation (2022-2023),Dell,laptops,4200,Titan Gray,32GB RAM / 512GB SSD / RTX A2000 (+AED 0); 32GB RAM / 1TB SSD / RTX A3500 (+AED 800); 64GB RAM / 2TB SSD / RTX 5000 Ada (+AED 2100),"ISV Certified Professional Workstation, 13th Gen Intel Core i7/i9, 16.0"" 4K OLED Touch, NVIDIA RTX Ada Graphics."
