Product Name,Brand,Category,Base Price (AED),Color Options,Specification Variants & Price Boosts,Short Description
Samsung Galaxy S24 Ultra (2024),Samsung,mobile,3400,"Titanium Gray, Titanium Black, Titanium Violet, Titanium Yellow",256GB / 12GB RAM (+AED 0); 512GB / 12GB RAM (+AED 350); 1TB / 12GB RAM (+AED 750),"Snapdragon 8 Gen 3 for Galaxy, 200MP camera, 6.8"" QHD+ Dynamic AMOLED 2X, S Pen."
Samsung Galaxy S24+ (2024),Samsung,mobile,2500,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow",256GB / 12GB RAM (+AED 0); 512GB / 12GB RAM (+AED 300),"6.7"" QHD+ Dynamic AMOLED 2X display, 4900mAh battery, Galaxy AI features."
Samsung Galaxy S24 (2024),Samsung,mobile,1900,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow",128GB / 8GB RAM (+AED 0); 256GB / 8GB RAM (+AED 200); 512GB / 8GB RAM (+AED 400),"6.2"" FHD+ Dynamic AMOLED 2X display, 4000mAh battery, Galaxy AI features."
Samsung Galaxy S23 Ultra (2023),Samsung,mobile,2500,"Phantom Black, Green, Lavender, Cream",256GB / 8GB RAM (+AED 0); 512GB / 12GB RAM (+AED 300); 1TB / 12GB RAM (+AED 650),"Snapdragon 8 Gen 2 for Galaxy, 200MP camera, 100x Space Zoom, S Pen."
Samsung Galaxy S23+ (2023),Samsung,mobile,1800,"Phantom Black, Cream, Green, Lavender",256GB / 8GB RAM (+AED 0); 512GB / 8GB RAM (+AED 250),"6.6"" Dynamic AMOLED 2X, 4700mAh battery, 50MP triple camera system."
Samsung Galaxy S23 (2023),Samsung,mobile,1400,"Phantom Black, Cream, Green, Lavender",128GB / 8GB RAM (+AED 0); 256GB / 8GB RAM (+AED 150); 512GB / 8GB RAM (+AED 300),"Compact 6.1"" Dynamic AMOLED 2X display, Snapdragon 8 Gen 2 processor."
Samsung Galaxy S22 Ultra (2022),Samsung,mobile,1750,"Phantom Black, Phantom White, Burgundy, Green",128GB / 8GB RAM (+AED 0); 256GB / 12GB RAM (+AED 200); 512GB / 12GB RAM (+AED 400); 1TB / 12GB RAM (+AED 700),"Built-in S Pen, 108MP main camera, 6.8"" 120Hz AMOLED display."
Samsung Galaxy S22+ (2022),Samsung,mobile,1250,"Phantom Black, Phantom White, Green, Pink Gold",128GB / 8GB RAM (+AED 0); 256GB / 8GB RAM (+AED 150),"6.6"" Dynamic AMOLED 2X, Armor Aluminum frame, 4500mAh battery."
Samsung Galaxy S22 (2022),Samsung,mobile,950,"Phantom Black, Phantom White, Green, Pink Gold",128GB / 8GB RAM (+AED 0); 256GB / 8GB RAM (+AED 120),"6.1"" Dynamic AMOLED 2X, Nightography 50MP camera."
Samsung Galaxy S21 FE 5G (2022),Samsung,mobile,750,"Olive, Lavender, White, Graphite",128GB / 6GB RAM (+AED 0); 256GB / 8GB RAM (+AED 100),"Fan Edition flagship with 6.4"" 120Hz AMOLED, 32MP selfie camera."
Samsung Galaxy Z Fold 6 (2024),Samsung,mobile,4200,"Silver Shadow, Pink, Navy",256GB / 12GB RAM (+AED 0); 512GB / 12GB RAM (+AED 450); 1TB / 12GB RAM (+AED 900),"Dual AMOLED 120Hz displays, 7.6"" Main display, Snapdragon 8 Gen 3, S Pen support."
Samsung Galaxy Z Flip 6 (2024),Samsung,mobile,2700,"Silver Shadow, Yellow, Blue, Mint",256GB / 12GB RAM (+AED 0); 512GB / 12GB RAM (+AED 350),"3.4"" Flex Window cover screen, 50MP camera, FlexCam AI zoom."
Samsung Galaxy Z Fold 5 (2023),Samsung,mobile,3100,"Icy Blue, Phantom Black, Cream",256GB / 12GB RAM (+AED 0); 512GB / 12GB RAM (+AED 350); 1TB / 12GB RAM (+AED 750),"Zero-gap Flex Hinge, 7.6"" Dynamic AMOLED 2X, Snapdragon 8 Gen 2."
Samsung Galaxy Z Flip 5 (2023),Samsung,mobile,1800,"Mint, Graphite, Cream, Lavender",256GB / 8GB RAM (+AED 0); 512GB / 8GB RAM (+AED 250),"Large Flex Window, hands-free Flex Mode selfies, IPX8 water resistance."
Samsung Galaxy Z Fold 4 (2022),Samsung,mobile,2200,"Graygreen, Phantom Black, Beige",256GB / 12GB RAM (+AED 0); 512GB / 12GB RAM (+AED 250); 1TB / 12GB RAM (+AED 550),"50MP camera system, Under Display Camera, Taskbar multi-tasking."
Samsung Galaxy A55 5G (2024),Samsung,mobile,950,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy",128GB / 8GB RAM (+AED 0); 256GB / 8GB RAM (+AED 120); 256GB / 12GB RAM (+AED 220),"Metal frame, 50MP OIS camera, 6.6"" Super AMOLED 120Hz display."
Samsung Galaxy A35 5G (2024),Samsung,mobile,720,"Awesome Iceblue, Awesome Lilac, Awesome Lemon, Awesome Navy",128GB / 6GB RAM (+AED 0); 128GB / 8GB RAM (+AED 80); 256GB / 8GB RAM (+AED 150),"Glass back, 50MP main camera, 5000mAh battery, IP67 rating."
