Product ID,Product Name,Brand,Category,Base Price (AED),Screen Size Options & Price Boosts,Available Colors,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"TV-101","Samsung OLED S95D 4K Smart TV (2024)","Samsung","TVs","4200","55 Inch (+AED 0) | 65 Inch (+AED 1200) | 77 Inch (+AED 2800)","Titan Black","Glare-Free OLED 4K Smart TV with NQ4 AI Gen2 Processor & 144Hz.","Samsung's flagship 2024 OLED TV. Features OLED Glare-Free tech, NQ4 AI Gen2 processor, Pantone Validated colors, Dolby Atmos, and Motion Xcelerator 144Hz for ultimate gaming and cinema.","/products/samsung-s95d-front.webp","/products/samsung-s95d-side.webp","/products/samsung-s95d-back.webp"
"TV-102","Samsung Neo QLED 4K QN90D (2024)","Samsung","TVs","3500","55 Inch (+AED 0) | 65 Inch (+AED 900) | 75 Inch (+AED 2100) | 85 Inch (+AED 3600)","Titan Black","Quantum Mini LED 4K Smart TV with Neo Quantum HDR+ & Real Depth Enhancer Pro.","Ultra-precise Quantum Mini LED backlighting. Powered by NQ4 AI Gen2 processor, Anti-Reflection coating, Dolby Atmos, and 144Hz refresh rate.","/products/samsung-qn90d-front.webp","/products/samsung-qn90d-side.webp","/products/samsung-qn90d-back.webp"
"TV-103","Samsung Neo QLED 8K QN900C (2023)","Samsung","TVs","4800","65 Inch (+AED 0) | 75 Inch (+AED 2500) | 85 Inch (+AED 4500)","Infinity One Black","8K Quantum Mini LED TV with Infinity Screen & Neural Quantum 8K Processor.","Nearly borderless Infinity Screen design. Neural Quantum Processor 8K with AI Upscaling, Quantum Matrix Pro, and Attachable Slim One Connect box.","/products/samsung-qn900c-front.webp","/products/samsung-qn900c-side.webp","/products/samsung-qn900c-back.webp"
"TV-104","Samsung The Frame LS03C QLED TV (2023)","Samsung","TVs","2200","43 Inch (+AED 0) | 50 Inch (+AED 300) | 55 Inch (+AED 600) | 65 Inch (+AED 1300) | 75 Inch (+AED 2400)","Teak, Walnut, White, Sand Gold","Matte Display Art TV with customizable magnetic bezels & QLED 4K.","Transforms your TV into a gallery piece when off. Features Matte Display technology that eliminates reflections, Quantum Dot 100% color volume, and slim fit wall mount.","/products/samsung-frame-front.webp","/products/samsung-frame-side.webp","/products/samsung-frame-back.webp"
"TV-105","Samsung Neo QLED 4K QN90B (2022)","Samsung","TVs","2600","55 Inch (+AED 0) | 65 Inch (+AED 700) | 75 Inch (+AED 1600)","Titan Black","2022 Flagship Mini LED 4K TV with Neo Quantum Processor 4K.","Quantum Matrix Technology with Mini LEDs, Neo Quantum Processor 4K, Object Tracking Sound (OTS+), and Motion Xcelerator Turbo+ for 4K 120Hz gaming.","/products/samsung-qn90b-front.webp","/products/samsung-qn90b-side.webp","/products/samsung-qn90b-back.webp"
"TV-106","Samsung Crystal UHD 4K CU8000 (2023)","Samsung","TVs","1300","50 Inch (+AED 0) | 55 Inch (+AED 250) | 65 Inch (+AED 700) | 75 Inch (+AED 1400)","Black","AirSlim Design 4K Smart TV with Dynamic Crystal Color & Crystal Processor 4K.","Ultra-thin AirSlim profile, Dynamic Crystal Color with 1 billion shades, Crystal Processor 4K upscaling, and Smart Hub with built-in voice assistants.","/products/samsung-cu8000-front.webp","/products/samsung-cu8000-side.webp","/products/samsung-cu8000-back.webp"
"TV-201","LG OLED evo C4 4K Smart TV (2024)","LG","TVs","3800","42 Inch (+AED 0) | 48 Inch (+AED 300) | 55 Inch (+AED 800) | 65 Inch (+AED 1800) | 77 Inch (+AED 3400)","Dark Titan","2024 OLED evo TV with α9 AI Processor Gen7, Brightness Booster & 144Hz.","LG's benchmark OLED evo TV. Powered by α9 AI Processor Gen7, Brightness Booster, 100% color fidelity, webOS 24 with 5 years of OS updates, NVIDIA G-Sync & AMD FreeSync Premium.","/products/lg-c4-front.webp","/products/lg-c4-side.webp","/products/lg-c4-back.webp"
"TV-202","LG OLED evo G4 Gallery Edition (2024)","LG","TVs","5100","55 Inch (+AED 0) | 65 Inch (+AED 1600) | 77 Inch (+AED 3800) | 83 Inch (+AED 5800)","Light Steel Silver","Flagship OLED evo TV with Micro Lens Array (MLA) Brightness Booster Max.","The ultimate OLED display with α11 AI Processor 4K, Brightness Booster Max (MLA technology) for up to 150% brighter picture, zero-gap wall mount design, and 5-year panel warranty.","/products/lg-g4-front.webp","/products/lg-g4-side.webp","/products/lg-g4-back.webp"
"TV-203","LG OLED evo C3 4K Smart TV (2023)","LG","TVs","3100","48 Inch (+AED 0) | 55 Inch (+AED 600) | 65 Inch (+AED 1400) | 77 Inch (+AED 2900)","Dark Titan","Self-lit OLED evo TV with α9 AI Processor Gen6 & Dolby Vision IQ.","Self-lit OLED pixels delivering infinite contrast and perfect black. Powered by α9 AI Processor Gen6, Brightness Booster, 0.1ms response time, and 4 HDMI 2.1 ports.","/products/lg-c3-front.webp","/products/lg-c3-side.webp","/products/lg-c3-back.webp"
"TV-204","LG OLED evo C2 4K TV (2022)","LG","TVs","2400","42 Inch (+AED 0) | 48 Inch (+AED 300) | 55 Inch (+AED 600) | 65 Inch (+AED 1200)","Dark Silver","Award-winning 2022 OLED evo TV with α9 Gen5 AI Processor 4K.","Slim bevel design with OLED evo panel, α9 Gen5 AI Processor 4K, Brightness Booster, Dolby Vision IQ, and Dolby Atmos audio.","/products/lg-c2-front.webp","/products/lg-c2-side.webp","/products/lg-c2-back.webp"
