Product Model Name,Brand,Category,Base Price (AED),Variant Spec / Processor & RAM & SSD,Spec Boost (AED),Total Valuation (AED),Colors
Dell XPS 16 9640 (2024),Dell,laptops,4800,16GB RAM / 512GB SSD / RTX 4050,0,4800,"Platinum, Graphite"
Dell XPS 16 9640 (2024),Dell,laptops,4800,32GB RAM / 1TB SSD / RTX 4060,800,5600,"Platinum, Graphite"
Dell XPS 16 9640 (2024),Dell,laptops,4800,64GB RAM / 2TB SSD / RTX 4070,1800,6600,"Platinum, Graphite"
Dell XPS 14 9440 (2024),Dell,laptops,3900,16GB RAM / 512GB SSD / Intel Arc,0,3900,"Platinum, Graphite"
Dell XPS 14 9440 (2024),Dell,laptops,3900,32GB RAM / 1TB SSD / RTX 4050,700,4600,"Platinum, Graphite"
Dell XPS 14 9440 (2024),Dell,laptops,3900,64GB RAM / 2TB SSD / RTX 4050,1400,5300,"Platinum, Graphite"
Dell XPS 15 9530 (2023),Dell,laptops,3400,16GB RAM / 512GB SSD / RTX 4050,0,3400,"Platinum Silver, Carbon Fiber Black"
Dell XPS 15 9530 (2023),Dell,laptops,3400,32GB RAM / 1TB SSD / RTX 4060,600,4000,"Platinum Silver, Carbon Fiber Black"
Dell XPS 15 9530 (2023),Dell,laptops,3400,64GB RAM / 2TB SSD / RTX 4070,1300,4700,"Platinum Silver, Carbon Fiber Black"
Dell XPS 17 9730 (2023),Dell,laptops,4100,16GB RAM / 512GB SSD / RTX 4060,0,4100,Platinum Silver
Dell XPS 17 9730 (2023),Dell,laptops,4100,32GB RAM / 1TB SSD / RTX 4070,750,4850,Platinum Silver
Dell XPS 17 9730 (2023),Dell,laptops,4100,64GB RAM / 2TB SSD / RTX 4080,1700,5800,Platinum Silver
Dell XPS 13 Plus 9320 (2022-2023),Dell,laptops,2800,16GB RAM / 512GB SSD,0,2800,"Platinum, Graphite"
Dell XPS 13 Plus 9320 (2022-2023),Dell,laptops,2800,32GB RAM / 1TB SSD,500,3300,"Platinum, Graphite"
Dell XPS 13 Plus 9320 (2022-2023),Dell,laptops,2800,32GB RAM / 2TB SSD,900,3700,"Platinum, Graphite"
Dell XPS 15 9500 / 9510 / 9520 (2020-2022),Dell,laptops,2200,16GB RAM / 512GB SSD / GTX 1650 Ti,0,2200,"Platinum Silver, Frost White"
Dell XPS 15 9500 / 9510 / 9520 (2020-2022),Dell,laptops,2200,16GB RAM / 1TB SSD / RTX 3050 Ti,400,2600,"Platinum Silver, Frost White"
Dell XPS 15 9500 / 9510 / 9520 (2020-2022),Dell,laptops,2200,32GB RAM / 1TB SSD / RTX 3050 Ti,750,2950,"Platinum Silver, Frost White"
Dell XPS 13 9300 / 9310 (2020-2021),Dell,laptops,1600,8GB RAM / 256GB SSD,0,1600,"Platinum Silver, Arctic White"
Dell XPS 13 9300 / 9310 (2020-2021),Dell,laptops,1600,16GB RAM / 512GB SSD,300,1900,"Platinum Silver, Arctic White"
Dell XPS 13 9300 / 9310 (2020-2021),Dell,laptops,1600,16GB RAM / 1TB SSD,500,2100,"Platinum Silver, Arctic White"
Dell XPS 15 9560 / 9570 / 7590 (2017-2019),Dell,laptops,1400,16GB RAM / 512GB SSD / GTX 1050 Ti,0,1400,"Silver, Black Carbon"
Dell XPS 15 9560 / 9570 / 7590 (2017-2019),Dell,laptops,1400,32GB RAM / 1TB SSD / GTX 1650,350,1750,"Silver, Black Carbon"
Dell XPS 13 9343 / 9350 / 9360 / 9370 (2015-2018),Dell,laptops,950,8GB RAM / 256GB SSD,0,950,"Silver, Rose Gold"
Dell XPS 13 9343 / 9350 / 9360 / 9370 (2015-2018),Dell,laptops,950,16GB RAM / 512GB SSD,200,1150,"Silver, Rose Gold"
Dell XPS 15 L501X / L502X / 9530 (2010-2014),Dell,laptops,550,8GB RAM / 500GB HDD,0,550,Anodized Aluminum Silver
Dell XPS 15 L501X / L502X / 9530 (2010-2014),Dell,laptops,550,16GB RAM / 256GB SSD,150,700,Anodized Aluminum Silver
Dell Alienware m16 / m18 R2 (2024),Dell,laptops,5200,16GB RAM / 1TB SSD / RTX 4070,0,5200,Dark Metallic Moon
Dell Alienware m16 / m18 R2 (2024),Dell,laptops,5200,32GB RAM / 1TB SSD / RTX 4080,1100,6300,Dark Metallic Moon
Dell Alienware m16 / m18 R2 (2024),Dell,laptops,5200,64GB RAM / 2TB SSD / RTX 4090,2400,7600,Dark Metallic Moon
Dell Alienware x16 / x14 R2 (2023),Dell,laptops,4200,16GB RAM / 1TB SSD / RTX 4060,0,4200,Lunar Light
Dell Alienware x16 / x14 R2 (2023),Dell,laptops,4200,32GB RAM / 1TB SSD / RTX 4070,800,5000,Lunar Light
Dell Alienware x16 / x14 R2 (2023),Dell,laptops,4200,32GB RAM / 2TB SSD / RTX 4080,1600,5800,Lunar Light
Dell Alienware m15 R6 / R7 (2021-2022),Dell,laptops,2800,16GB RAM / 512GB SSD / RTX 3060,0,2800,"Dark Side of the Moon, Lunar Light"
Dell Alienware m15 R6 / R7 (2021-2022),Dell,laptops,2800,16GB RAM / 1TB SSD / RTX 3070 Ti,500,3300,"Dark Side of the Moon, Lunar Light"
Dell Alienware m15 R6 / R7 (2021-2022),Dell,laptops,2800,32GB RAM / 1TB SSD / RTX 3080,1000,3800,"Dark Side of the Moon, Lunar Light"
Dell Alienware 17 R4 / R5 (2016-2018),Dell,laptops,1600,16GB RAM / 512GB SSD / GTX 1070,0,1600,Epic Silver
Dell Alienware 17 R4 / R5 (2016-2018),Dell,laptops,1600,32GB RAM / 1TB SSD / GTX 1080,400,2000,Epic Silver
Dell Alienware M17x R3 / R4 / 18 (2011-2015),Dell,laptops,850,12GB RAM / 750GB HDD / GTX 675M,0,850,"Stealth Black, Nebula Red"
