Product Model Name,Brand,Category,Base Price (AED),Variant Spec / UOM,Spec Boost (AED),Total Valuation (AED),Colors
Samsung Galaxy S24 Ultra (2024),Samsung,mobile,3400,256GB / 12GB RAM,0,3400,"Titanium Gray, Titanium Black, Titanium Violet, Titanium Yellow"
Samsung Galaxy S24 Ultra (2024),Samsung,mobile,3400,512GB / 12GB RAM,350,3750,"Titanium Gray, Titanium Black, Titanium Violet, Titanium Yellow"
Samsung Galaxy S24 Ultra (2024),Samsung,mobile,3400,1TB / 12GB RAM,750,4150,"Titanium Gray, Titanium Black, Titanium Violet, Titanium Yellow"
Samsung Galaxy S24+ (2024),Samsung,mobile,2500,256GB / 12GB RAM,0,2500,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow"
Samsung Galaxy S24+ (2024),Samsung,mobile,2500,512GB / 12GB RAM,300,2800,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow"
Samsung Galaxy S24 (2024),Samsung,mobile,1900,128GB / 8GB RAM,0,1900,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow"
Samsung Galaxy S24 (2024),Samsung,mobile,1900,256GB / 8GB RAM,200,2100,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow"
Samsung Galaxy S24 (2024),Samsung,mobile,1900,512GB / 8GB RAM,400,2300,"Onyx Black, Marble Gray, Cobalt Violet, Amber Yellow"
Samsung Galaxy S23 Ultra (2023),Samsung,mobile,2500,256GB / 8GB RAM,0,2500,"Phantom Black, Green, Lavender, Cream"
Samsung Galaxy S23 Ultra (2023),Samsung,mobile,2500,512GB / 12GB RAM,300,2800,"Phantom Black, Green, Lavender, Cream"
Samsung Galaxy S23 Ultra (2023),Samsung,mobile,2500,1TB / 12GB RAM,650,3150,"Phantom Black, Green, Lavender, Cream"
Samsung Galaxy S23+ (2023),Samsung,mobile,1800,256GB / 8GB RAM,0,1800,"Phantom Black, Cream, Green, Lavender"
Samsung Galaxy S23+ (2023),Samsung,mobile,1800,512GB / 8GB RAM,250,2050,"Phantom Black, Cream, Green, Lavender"
Samsung Galaxy S23 (2023),Samsung,mobile,1400,128GB / 8GB RAM,0,1400,"Phantom Black, Cream, Green, Lavender"
Samsung Galaxy S23 (2023),Samsung,mobile,1400,256GB / 8GB RAM,150,1550,"Phantom Black, Cream, Green, Lavender"
Samsung Galaxy S23 (2023),Samsung,mobile,1400,512GB / 8GB RAM,300,1700,"Phantom Black, Cream, Green, Lavender"
Samsung Galaxy S22 Ultra (2022),Samsung,mobile,1750,128GB / 8GB RAM,0,1750,"Phantom Black, Phantom White, Burgundy, Green"
Samsung Galaxy S22 Ultra (2022),Samsung,mobile,1750,256GB / 12GB RAM,200,1950,"Phantom Black, Phantom White, Burgundy, Green"
Samsung Galaxy S22 Ultra (2022),Samsung,mobile,1750,512GB / 12GB RAM,400,2150,"Phantom Black, Phantom White, Burgundy, Green"
Samsung Galaxy S22 Ultra (2022),Samsung,mobile,1750,1TB / 12GB RAM,700,2450,"Phantom Black, Phantom White, Burgundy, Green"
Samsung Galaxy S22+ (2022),Samsung,mobile,1250,128GB / 8GB RAM,0,1250,"Phantom Black, Phantom White, Green, Pink Gold"
Samsung Galaxy S22+ (2022),Samsung,mobile,1250,256GB / 8GB RAM,150,1400,"Phantom Black, Phantom White, Green, Pink Gold"
Samsung Galaxy S22 (2022),Samsung,mobile,950,128GB / 8GB RAM,0,950,"Phantom Black, Phantom White, Green, Pink Gold"
Samsung Galaxy S22 (2022),Samsung,mobile,950,256GB / 8GB RAM,120,1070,"Phantom Black, Phantom White, Green, Pink Gold"
