Product Model Name,Brand,Category,Base Price (AED),Variant Spec / Storage & RAM,Spec Boost (AED),Total Valuation (AED),Colors
Google Pixel 9 Pro XL (2024),Google,mobile,2900,128GB / 16GB RAM,0,2900,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro XL (2024),Google,mobile,2900,256GB / 16GB RAM,300,3200,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro XL (2024),Google,mobile,2900,512GB / 16GB RAM,700,3600,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro XL (2024),Google,mobile,2900,1TB / 16GB RAM,1200,4100,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro (2024),Google,mobile,2500,128GB / 16GB RAM,0,2500,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro (2024),Google,mobile,2500,256GB / 16GB RAM,250,2750,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 Pro (2024),Google,mobile,2500,512GB / 16GB RAM,600,3100,"Obsidian, Porcelain, Hazel, Rose Quartz"
Google Pixel 9 (2024),Google,mobile,1900,128GB / 12GB RAM,0,1900,"Obsidian, Porcelain, Wintergreen, Peony"
Google Pixel 9 (2024),Google,mobile,1900,256GB / 12GB RAM,250,2150,"Obsidian, Porcelain, Wintergreen, Peony"
Google Pixel 9 Pro Fold (2024),Google,mobile,3800,256GB / 16GB RAM,0,3800,"Obsidian, Porcelain"
Google Pixel 9 Pro Fold (2024),Google,mobile,3800,512GB / 16GB RAM,500,4300,"Obsidian, Porcelain"
Google Pixel 8a (2024),Google,mobile,1200,128GB / 8GB RAM,0,1200,"Obsidian, Porcelain, Bay, Aloe"
Google Pixel 8a (2024),Google,mobile,1200,256GB / 8GB RAM,180,1380,"Obsidian, Porcelain, Bay, Aloe"
Google Pixel 8 Pro (2023),Google,mobile,1800,128GB / 12GB RAM,0,1800,"Obsidian, Porcelain, Bay, Mint"
Google Pixel 8 Pro (2023),Google,mobile,1800,256GB / 12GB RAM,200,2000,"Obsidian, Porcelain, Bay, Mint"
