Product ID,Product Name,Brand,Category,Base Price (AED),Storage & Connectivity Variants & Boosts,Available Colors,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"TAB-101","iPad Pro 13 (M4 Chip, 2024)","Apple","Tablets","3800","256GB Wi-Fi (+AED 0) | 512GB Wi-Fi (+AED 700) | 1TB Cellular Nano-Texture (+AED 2100) | 2TB Cellular (+AED 3600)","Space Black, Silver","Ultra-thin 5.1mm iPad Pro with Apple M4 chip & Ultra Retina XDR Tandem OLED.","Apple's thinnest product ever. Features groundbreaking Tandem OLED Ultra Retina XDR display, M4 chip with 10-core CPU & 10-core GPU, hardware-accelerated ray tracing, and Apple Pencil Pro support.","/products/ipad-pro13-m4-front.webp","/products/ipad-pro13-m4-side.webp","/products/ipad-pro13-m4-back.webp"
"TAB-102","iPad Pro 11 (M4 Chip, 2024)","Apple","Tablets","3100","256GB Wi-Fi (+AED 0) | 512GB Wi-Fi (+AED 600) | 1TB Cellular (+AED 1800)","Space Black, Silver","Compact 11-inch Ultra Retina XDR OLED tablet with M4 chip.","Pro performance in an 11-inch size. Ultra Retina XDR Tandem OLED, M4 chip, landscape 12MP Center Stage camera, Thunderbolt 4 port, and Apple Pencil Pro compatibility.","/products/ipad-pro11-m4-front.webp","/products/ipad-pro11-m4-side.webp","/products/ipad-pro11-m4-back.webp"
"TAB-103","iPad Air 13 (M2 Chip, 2024)","Apple","Tablets","2700","128GB Wi-Fi (+AED 0) | 256GB Wi-Fi (+AED 450) | 512GB Cellular (+AED 1100)","Space Gray, Starlight, Purple, Blue","Redesigned 13-inch iPad Air with superfast M2 chip & Liquid Retina display.","First-ever 13-inch iPad Air. Features M2 chip, Liquid Retina display, landscape front camera, Touch ID power button, and Apple Pencil Pro support.","/products/ipad-air13-m2-front.webp","/products/ipad-air13-m2-side.webp","/products/ipad-air13-m2-back.webp"
"TAB-104","iPad Air 11 (M2 Chip, 2024)","Apple","Tablets","2100","128GB Wi-Fi (+AED 0) | 256GB Wi-Fi (+AED 400) | 512GB Cellular (+AED 950)","Space Gray, Starlight, Purple, Blue","11-inch Liquid Retina iPad Air powered by the Apple M2 chip.","Supercharged by the M2 chip with 8-core CPU and 10-core GPU. Fast Wi-Fi 6E, landscape 12MP Ultra Wide camera, USB-C port, and all-day battery life.","/products/ipad-air11-m2-front.webp","/products/ipad-air11-m2-side.webp","/products/ipad-air11-m2-back.webp"
"TAB-105","iPad 10th Gen 10.9 (2022/2024)","Apple","Tablets","1200","64GB Wi-Fi (+AED 0) | 256GB Wi-Fi (+AED 450) | 256GB Cellular (+AED 750)","Blue, Pink, Yellow, Silver","All-screen 10.9-inch Liquid Retina iPad with A14 Bionic chip & USB-C.","Colorful all-screen design with 10.9-inch Liquid Retina display, A14 Bionic chip, landscape 12MP Ultra Wide camera, USB-C port, and Magic Keyboard Folio support.","/products/ipad-10th-front.webp","/products/ipad-10th-side.webp","/products/ipad-10th-back.webp"
"TAB-106","iPad Mini 6","Apple","Tablets","1450","64GB Wi-Fi (+AED 0) | 256GB Wi-Fi (+AED 450) | 256GB Cellular (+AED 750)","Space Gray, Pink, Purple, Starlight","Compact 8.3-inch Liquid Retina iPad with A15 Bionic chip & 5G.","Mega power in a mini size. 8.3-inch Liquid Retina display, A15 Bionic chip with Neural Engine, Touch ID, USB-C, 5G Cellular connectivity, and Apple Pencil 2 magnetic attachment.","/products/ipad-mini6-front.webp","/products/ipad-mini6-side.webp","/products/ipad-mini6-back.webp"
"TAB-107","iPad Pro 12.9 M2 (2022)","Apple","Tablets","2600","128GB Wi-Fi (+AED 0) | 256GB Wi-Fi (+AED 400) | 512GB Cellular (+AED 900) | 1TB Cellular (+AED 1600)","Space Gray, Silver","Liquid Retina XDR Mini LED iPad Pro powered by the M2 chip.","12.9-inch Liquid Retina XDR display with Mini LED backlighting, M2 chip, Apple Pencil hover experience, ProRes video capture, and Thunderbolt 4 connector.","/products/ipad-pro129-m2-front.webp","/products/ipad-pro129-m2-side.webp","/products/ipad-pro129-m2-back.webp"
"TAB-201","Galaxy Tab S9 Ultra","Samsung","Tablets","2600","256GB Wi-Fi (+AED 0) | 512GB 5G (+AED 700) | 1TB 5G (+AED 1600)","Graphite, Beige","Massive 14.6-inch Dynamic AMOLED 2X Android tablet with S Pen & IP68 rating.","Samsung's ultimate flagship tablet. 14.6-inch Dynamic AMOLED 2X 120Hz display, Snapdragon 8 Gen 2 for Galaxy, IP68 water/dust resistance, included low-latency S Pen, and quad AKG speakers.","/products/tab-s9-ultra-front.webp","/products/tab-s9-ultra-side.webp","/products/tab-s9-ultra-back.webp"
"TAB-202","Galaxy Tab S9+","Samsung","Tablets","2100","256GB Wi-Fi (+AED 0) | 512GB 5G (+AED 550)","Graphite, Beige","12.4-inch Dynamic AMOLED 2X tablet with Snapdragon 8 Gen 2 & S Pen.","Vibrant 12.4-inch 120Hz Dynamic AMOLED 2X screen, Snapdragon 8 Gen 2 processor, IP68 rated body and S Pen, dual rear cameras, and Samsung DeX desktop mode.","/products/tab-s9plus-front.webp","/products/tab-s9plus-side.webp","/products/tab-s9plus-back.webp"
"TAB-203","Galaxy Tab S9 FE+","Samsung","Tablets","1350","128GB Wi-Fi (+AED 0) | 256GB 5G (+AED 400)","Gray, Silver, Mint, Lavender","Large 12.4-inch 90Hz display tablet with IP68 S Pen & 10090mAh battery.","Feature-packed Fan Edition tablet. 12.4-inch 90Hz display, IP68 water-resistant S Pen included, Exynos 1380 processor, 10,090 mAh battery with 45W fast charging.","/products/tab-s9fe-front.webp","/products/tab-s9fe-side.webp","/products/tab-s9fe-back.webp"
"TAB-204","Galaxy Tab S8 Ultra (2022)","Samsung","Tablets","1900","128GB Wi-Fi (+AED 0) | 256GB 5G (+AED 450) | 512GB 5G (+AED 900)","Graphite","2022 flagship 14.6-inch Super AMOLED tablet with dual front cameras.","14.6-inch Super AMOLED 120Hz screen, Armor Aluminum frame, Snapdragon 8 Gen 1 chip, ultra-wide 12MP dual front cameras, and Bluetooth S Pen.","/products/tab-s8ultra-front.webp","/products/tab-s8ultra-side.webp","/products/tab-s8ultra-back.webp"
"TAB-301","Microsoft Surface Pro 10 (2024)","Microsoft","Tablets","3600","256GB SSD / 16GB RAM (+AED 0) | 512GB SSD / 16GB RAM (+AED 700) | 1TB SSD / 32GB RAM (+AED 1800)","Platinum, Black","Commercial 2-in-1 Windows 11 tablet with Intel Core Ultra & anti-reflective screen.","Built for AI business productivity. 13-inch PixelSense Flow 120Hz anti-reflective display, Intel Core Ultra 5/7 with AI NPU, Ultrawide QHD front camera with Studio Effects, and Surface Slim Pen 2 storage.","/products/surface-pro10-front.webp","/products/surface-pro10-side.webp","/products/surface-pro10-back.webp"
"TAB-302","Microsoft Surface Pro 9 (2022/2023)","Microsoft","Tablets","2700","256GB SSD / 8GB RAM (+AED 0) | 256GB SSD / 16GB RAM (+AED 450) | 512GB SSD / 16GB RAM (+AED 950)","Platinum, Sapphire, Forest, Graphite","13-inch 120Hz PixelSense 2-in-1 Windows tablet with 12th Gen Intel Core i5/i7.","Iconic 2-in-1 design with built-in kickstand. 13-inch PixelSense 120Hz touchscreen, 12th Gen Intel Core i5/i7 processor, dual Thunderbolt 4 ports, and optional 5G SQ3 configuration.","/products/surface-pro9-front.webp","/products/surface-pro9-side.webp","/products/surface-pro9-back.webp"
"TAB-401","Xiaomi Pad 6 Pro","Xiaomi","Tablets","1300","128GB (+AED 0) | 256GB (+AED 250) | 512GB (+AED 500)","Black, Gold, Mountain Blue","11-inch 144Hz 2.8K display tablet with Snapdragon 8+ Gen 1.","High-performance Android tablet featuring Snapdragon 8+ Gen 1, 11-inch 2.8K 144Hz screen, 67W fast charging, Quad speaker Dolby Atmos, and metal unibody design.","/products/xiaomi-pad6pro-front.webp","/products/xiaomi-pad6pro-side.webp","/products/xiaomi-pad6pro-back.webp"
"TAB-402","OnePlus Pad 2 (2024)","OnePlus","Tablets","1850","256GB / 12GB RAM (+AED 0)","Nimbus Gray","12.1-inch 3K 144Hz display flagship tablet with Snapdragon 8 Gen 3.","Unrivaled performance with Snapdragon 8 Gen 3, 12.1-inch 3K 144Hz ReadFit 7:5 ratio screen, 6-speaker Omnibearing sound system, 67W SUPERVOOC charging, and Stylo 2 support.","/products/oneplus-pad2-front.webp","/products/oneplus-pad2-side.webp","/products/oneplus-pad2-back.webp"
"TAB-403","Lenovo Tab Extreme 14.5","Lenovo","Tablets","2800","256GB / 12GB RAM (+AED 0)","Storm Grey","Massive 14.5-inch 3K 120Hz OLED tablet with 8 JBL speakers & Precision Pen 3.","Lenovo's ultimate media & productivity tablet. 14.5-inch 3K 120Hz OLED display, Dimensity 9000 octa-core chip, 8 JBL speakers with Dolby Atmos, dual Type-C DP ports, and dual-hinge keyboard stand.","/products/lenovo-tab-extreme-front.webp","/products/lenovo-tab-extreme-side.webp","/products/lenovo-tab-extreme-back.webp"
