Product Code,Product Name,Brand,Category,Base Price (AED),Storage / Specs Options,Available Colors,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"PROD-001","iPhone 15 Pro Max","Apple","Smartphones","3200","256GB (+AED 150) | 512GB (+AED 350) | 1TB (+AED 700)","Black Titanium, Natural Titanium, White Titanium, Blue Titanium","Sleek titanium iPhone with A17 Pro chip & triple-lens camera.","The ultimate iPhone featuring titanium design, Action button, powerful camera upgrades, and A17 Pro chip.","/products/iphone 17 pro max 💖.jpg","/products/iphone (1).jpg","/products/iphone (2).jpg"
"PROD-002","iPhone 15 Pro","Apple","Smartphones","2800","128GB (+AED 0) | 256GB (+AED 150) | 512GB (+AED 350) | 1TB (+AED 700)","Black Titanium, Natural Titanium, White Titanium","Titanium design, A17 Pro chip, customizable Action button.","Pro performance in a compact 6.1-inch titanium body with A17 Pro chip.","/products/iphone (3).jpg","/products/iphone (4).jpg","/products/iphone (5).jpg"
"PROD-003","iPhone 15","Apple","Smartphones","2000","128GB (+AED 0) | 256GB (+AED 150) | 512GB (+AED 350)","Black, Blue, Green, Yellow, Pink","Dynamic Island, 48MP Main camera, and USB-C integration.","Dynamic Island, 48MP main camera, and USB-C integration.","/products/iphone (6).jpg","/products/iphone (7).jpg","/products/iphone (8).jpg"
"PROD-004","Galaxy S24 Ultra","Samsung","Smartphones","3000","256GB (+AED 150) | 512GB (+AED 350) | 1TB (+AED 700)","Titanium Black, Titanium Gray, Titanium Violet","Premium titanium smartphone with 200MP camera & Galaxy AI.","Premier AI smartphone with titanium frame, embedded S Pen, and 200MP camera.","/products/samsung (1).jpg","/products/samsung (2).jpg","/products/samsung (3).jpg"
"PROD-005","Galaxy S24+","Samsung","Smartphones","2200","256GB (+AED 150) | 512GB (+AED 350)","Onyx Black, Marble Gray, Cobalt Violet","Beautiful QHD+ display, Galaxy AI tools, and sleek design.","Large-screen flagship with intelligent Galaxy AI tools and QHD+ display.","/products/samsung (4).jpg","/products/samsung (5).jpg","/products/samsung (6).jpg"
"PROD-006","Pixel 8 Pro","Google","Smartphones","1900","128GB (+AED 0) | 256GB (+AED 150) | 512GB (+AED 350)","Obsidian, Porcelain, Bay Blue","Advanced Google AI, Tensor G3 chip, and best-in-class camera.","The all-pro phone engineered by Google with Tensor G3 chip and camera AI.","/products/logo of google.jpg","/products/logo of google.jpg","/products/logo of google.jpg"
"PROD-007","OnePlus 12","OnePlus","Smartphones","1800","256GB (+AED 150) | 512GB (+AED 350)","Silky Black, Flowy Emerald","Snapdragon 8 Gen 3, 100W super charging, fluid display.","Redefined flagship performance featuring Snapdragon 8 Gen 3 & 100W charging.","/products/oneplus (1).jpg","/products/oneplus (2).jpg","/products/oneplus (3).jpg"
"PROD-008","HP Spectre x360 14","HP","Laptops","3200","16GB RAM / 512GB SSD (+AED 300) | 16GB / 1TB SSD (+AED 550) | 32GB / 1TB SSD (+AED 850)","Nightfall Black, Slate Blue","Ultra-portable 2-in-1 OLED touchscreen laptop with Intel Core Ultra.","Premium 2-in-1 convertible laptop featuring OLED touchscreen, Intel Core Ultra 7 processor, and sleek aluminum chassis.","/products/hp-spectre.webp","/products/hp-spectre-side.webp","/products/hp-spectre-back.webp"
"PROD-009","HP OMEN 16 Gaming Laptop","HP","Laptops","3500","16GB RAM / 512GB SSD (+AED 300) | 16GB / 1TB SSD (+AED 550) | 32GB / 1TB SSD (+AED 850)","Shadow Black","RTX 4070 gaming laptop with 165Hz QHD display & Tempest cooling.","High-performance gaming laptop equipped with NVIDIA RTX 4070, 165Hz QHD display, and Tempest Cooling.","/products/hp-omen16.webp","/products/hp-omen16-side.webp","/products/hp-omen16-back.webp"
"PROD-010","Lenovo ThinkPad X1 Carbon Gen 11","Lenovo","Laptops","3800","16GB RAM / 512GB SSD (+AED 300) | 16GB / 1TB SSD (+AED 550) | 32GB / 1TB SSD (+AED 850)","Deep Black Carbon","Ultralight carbon-fiber business laptop with legendary keyboard.","The gold standard business laptop. Ultralight carbon fiber weave, legendary keyboard, and Intel vPro security.","/products/lenovo-thinkpad.webp","/products/lenovo-thinkpad-side.webp","/products/lenovo-thinkpad-back.webp"
"PROD-011","Lenovo Legion Pro 5","Lenovo","Laptops","3400","16GB RAM / 512GB SSD (+AED 300) | 16GB / 1TB SSD (+AED 550)","Onyx Grey","AI-tuned gaming notebook with Ryzen 7 & RTX 4060.","AI-tuned gaming powerhouse with AMD Ryzen 7, RTX 4060 graphics, and 240Hz gaming panel.","/products/lenovo-legion.webp","/products/lenovo-legion-side.webp","/products/lenovo-legion-back.webp"
"PROD-012","Asus ROG Zephyrus G14","Asus","Laptops","3900","16GB RAM / 1TB SSD (+AED 550) | 32GB RAM / 1TB SSD (+AED 850)","Eclipse Gray, Moonlight White","Ultra-slim ROG Nebula OLED gaming laptop with RTX 4070.","Ultra-slim 14-inch ROG Nebula OLED gaming laptop with AMD Ryzen 9 processor & RTX 4070 graphics.","/products/asus-zephyrus.webp","/products/asus-zephyrus-side.webp","/products/asus-zephyrus-back.webp"
"PROD-013","Asus Zenbook 14 OLED","Asus","Laptops","2700","16GB RAM / 512GB SSD (+AED 300) | 16GB RAM / 1TB SSD (+AED 550)","Ponder Blue, Foggy Silver","Lightweight 2.8K 120Hz OLED ultrabook with long battery life.","Elegant and lightweight laptop with a 2.8K 120Hz OLED display, long battery life, and Harman Kardon audio.","/products/asus-zenbook.webp","/products/asus-zenbook-side.webp","/products/asus-zenbook-back.webp"
"PROD-014","iPad Pro 13 (M4 Chip)","Apple","Tablets","3800","256GB (+AED 150) | 512GB (+AED 350) | 1TB (+AED 700)","Space Black, Silver","Thinnest iPad Pro with M4 chip & Ultra Retina XDR Tandem OLED.","Impossibly thin design featuring the breakthrough M4 chip, Ultra Retina XDR Tandem OLED display, and Apple Pencil Pro support.","/products/ipad-pro-m4.webp","/products/ipad-pro-m4-side.webp","/products/ipad-pro-m4-back.webp"
"PROD-015","iPad Air 11 (M2 Chip)","Apple","Tablets","2100","128GB (+AED 0) | 256GB (+AED 150) | 512GB (+AED 350)","Space Gray, Starlight, Purple, Blue","Powerful iPad Air powered by M2 chip & Liquid Retina display.","Freshly redesigned with the superfast M2 chip, Liquid Retina display, and landscape front camera.","/products/ipad-air-m2.webp","/products/ipad-air-m2-side.webp","/products/ipad-air-m2-back.webp"
"PROD-016","iPad Mini 6","Apple","Tablets","1500","64GB (+AED 0) | 256GB (+AED 150)","Space Gray, Pink, Purple, Starlight","Compact 8.3-inch iPad with A15 Bionic chip & Apple Pencil 2 support.","Mega power in a mini 8.3-inch Liquid Retina size. Features A15 Bionic chip and 5G connectivity.","/products/ipad-mini-6.webp","/products/ipad-mini-6-side.webp","/products/ipad-mini-6-back.webp"
"PROD-017","Galaxy Tab S9 Ultra","Samsung","Tablets","2200","256GB (+AED 150) | 512GB (+AED 350) | 1TB (+AED 700)","Graphite, Beige","Massive 14.6-inch AMOLED tablet with S Pen & IP68 rating.","Massive 14.6-inch Dynamic AMOLED 2X display, IP68 water resistance, and ultra-low latency S Pen included.","/products/samsung-tab-s9.webp","/products/samsung-tab-s9-side.webp","/products/samsung-tab-s9-back.webp"
"PROD-018","Microsoft Surface Pro 9","Microsoft","Tablets","2800","256GB (+AED 150) | 512GB (+AED 350) | 1TB (+AED 700)","Platinum, Sapphire, Forest, Graphite","2-in-1 Windows tablet with 120Hz PixelSense display & kickstand.","The 2-in-1 tablet versatility you want with the laptop performance you need. 13-inch PixelSense 120Hz display.","/products/surface-pro-9.webp","/products/surface-pro-9-side.webp","/products/surface-pro-9-back.webp"
"PROD-019","Apple Watch Series 9","Apple","Smartwatches","900","64GB (+AED 0)","Midnight, Starlight, Silver, Red","S9 SiP chip, innovative Double Tap gesture, advanced health tracking.","Smarter, brighter, and faster. Features the S9 SiP chip, double tap gesture, on-device Siri, and temperature sensing.","/products/apple logo.jpg","/products/apple logo.jpg","/products/apple logo.jpg"
"PROD-020","Galaxy Watch 6 Classic","Samsung","Smartwatches","700","16GB (+AED 0)","Black, Silver","Classic rotating bezel, comprehensive health tracking, stainless steel design.","The return of the iconic rotating bezel. Tracks sleep stages, body composition (BIA), heart rate, and workouts.","/products/samsung logo.jpg","/products/samsung logo.jpg","/products/samsung logo.jpg"
"PROD-021","PlayStation 5 Slim","Sony","Games","1400","1TB SSD (+AED 0)","White / Black","Compact PS5 console with 1TB SSD & DualSense wireless controller.","Next-gen gaming power in a slimmer form factor. Includes 1TB SSD, DualSense wireless controller, and 4K 120Hz HDR support.","/products/ps5-slim.webp","/products/ps5-slim-side.webp","/products/ps5-slim-back.webp"
"PROD-022","Xbox Series X","Microsoft","Games","1300","1TB SSD (+AED 0)","Matte Black","12 Teraflops 4K gaming console with Quick Resume & 1TB velocity SSD.","The fastest, most powerful Xbox console ever with 12 teraflops of graphic processing power & Quick Resume.","/products/xbox-series-x.webp","/products/xbox-series-x-side.webp","/products/xbox-series-x-back.webp"
"PROD-023","Nintendo Switch OLED","Nintendo","Games","850","64GB (+AED 0)","White, Neon Red/Blue","Vibrant 7-inch OLED screen handheld gaming console.","Vibrant 7-inch OLED screen, wide adjustable stand, wired LAN dock, and 64GB internal storage.","/products/nintendo-switch-oled.webp","/products/nintendo-switch-oled-side.webp","/products/nintendo-switch-oled-back.webp"
"PROD-024","Asus ROG Ally X","Asus","Games","2200","1TB SSD (+AED 0)","Black","Windows 11 gaming handheld PC with AMD Z1 Extreme & 80Wh battery.","Upgraded Windows 11 handheld gaming PC with AMD Z1 Extreme, 24GB LPDDR5X RAM, and massive 80Wh battery.","/products/asus-rog-ally-x.webp","/products/asus-rog-ally-x-side.webp","/products/asus-rog-ally-x-back.webp"
