Product ID,Product Name,Brand,Category,Base Price (AED),RAM / Storage Spec Variants & Price Boosts,Available Colors,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"LAP-101","MacBook Pro 16 M3 Max (2023/2024)","Apple","Laptops","6500","36GB RAM / 1TB SSD (+AED 0) | 48GB RAM / 1TB SSD (+AED 900) | 128GB RAM / 2TB SSD (+AED 2800)","Space Black, Silver","Extreme Pro performance with M3 Max chip, 16.2-inch Liquid Retina XDR display & 22-hr battery.","Apple's flagship laptop. 16.2-inch Liquid Retina XDR display with ProMotion 120Hz, M3 Max chip with up to 16-core CPU & 40-core GPU, hardware-accelerated ray tracing, and HDMI 2.1 port.","/products/macbook-pro-16-front.webp","/products/macbook-pro-16-side.webp","/products/macbook-pro-16-back.webp"
"LAP-102","MacBook Pro 14 M3 Pro (2023/2024)","Apple","Laptops","4800","18GB RAM / 512GB SSD (+AED 0) | 18GB RAM / 1TB SSD (+AED 650) | 36GB RAM / 1TB SSD (+AED 1600)","Space Black, Silver","Pro power in a portable 14.2-inch Liquid Retina XDR size with M3 Pro chip.","Packed with M3 Pro chip (11-core or 12-core CPU, up to 18-core GPU), 14.2-inch Liquid Retina XDR display, MagSafe 3 charging, SDXC card slot, and 18 hours of battery life.","/products/macbook-pro-14-front.webp","/products/macbook-pro-14-side.webp","/products/macbook-pro-14-back.webp"
"LAP-103","MacBook Air 15 M3 (2024)","Apple","Laptops","3400","8GB RAM / 256GB SSD (+AED 0) | 16GB RAM / 512GB SSD (+AED 700) | 24GB RAM / 1TB SSD (+AED 1600)","Midnight, Starlight, Space Gray, Silver","Ultra-thin 15.3-inch Liquid Retina laptop with M3 chip & dual external display support.","Strikingly thin design with 15.3-inch Liquid Retina display, M3 chip, support for up to two external displays, MagSafe 3, 1080p FaceTime HD camera, and fanless silent operation.","/products/macbook-air-15-front.webp","/products/macbook-air-15-side.webp","/products/macbook-air-15-back.webp"
"LAP-104","MacBook Air 13 M3 (2024)","Apple","Laptops","2900","8GB RAM / 256GB SSD (+AED 0) | 16GB RAM / 512GB SSD (+AED 650) | 24GB RAM / 512GB SSD (+AED 1300)","Midnight, Starlight, Space Gray, Silver","Ultra-portable 13.6-inch laptop with M3 performance.","Supercharged by the M3 chip in an ultra-portable 13.6-inch Liquid Retina size. Features Wi-Fi 6E, MagSafe charging, 18-hour battery, and sleek aluminum unibody.","/products/macbook-air-13-front.webp","/products/macbook-air-13-side.webp","/products/macbook-air-13-back.webp"
"LAP-105","MacBook Pro 16 M2 Max (2023)","Apple","Laptops","4900","32GB RAM / 1TB SSD (+AED 0) | 64GB RAM / 1TB SSD (+AED 1200)","Space Gray, Silver","2023 flagship 16-inch MacBook with M2 Max chip.","M2 Max chip with 12-core CPU and up to 38-core GPU, 16.2-inch Liquid Retina XDR display, up to 96GB unified memory support, and HDMI 2.1 8K output.","/products/macbook-pro-16m2-front.webp","/products/macbook-pro-16m2-side.webp","/products/macbook-pro-16m2-back.webp"
"LAP-106","MacBook Air 13 M2 (2022)","Apple","Laptops","2200","8GB RAM / 256GB SSD (+AED 0) | 16GB RAM / 512GB SSD (+AED 550)","Midnight, Starlight, Space Gray, Silver","Redesigned M2 MacBook Air with 13.6-inch Liquid Retina display.","Radically redesigned around the M2 chip. Just 11.3 mm thin, 13.6-inch Liquid Retina display, MagSafe charging port, and 1080p camera.","/products/macbook-air-m2-front.webp","/products/macbook-air-m2-side.webp","/products/macbook-air-m2-back.webp"
"LAP-201","Dell XPS 16 9640 OLED (2024)","Dell","Laptops","5200","16GB RAM / 512GB SSD (+AED 0) | 32GB RAM / 1TB SSD / RTX 4070 (+AED 1400) | 64GB RAM / 2TB SSD (+AED 3100)","Platinum, Graphite","16.3-inch 4K+ OLED Touch ultrabook with Intel Core Ultra 7/9 & RTX 4070.","Dell's premier 2024 laptop. Features a 16.3-inch 4K+ OLED touch screen, CNC machined aluminum chassis, seamless glass haptic touchpad, and RTX 4070 graphics.","/products/dell-xps16-front.webp","/products/dell-xps16-side.webp","/products/dell-xps16-back.webp"
"LAP-202","Dell XPS 14 9440 (2024)","Dell","Laptops","4200","16GB RAM / 512GB SSD (+AED 0) | 32GB RAM / 1TB SSD / RTX 4050 (+AED 950)","Platinum, Graphite","Compact 14.5-inch 3.2K OLED laptop with Intel Core Ultra 7.","Ultra-portable performance featuring 14.5-inch 3.2K 120Hz OLED touch display, Intel Core Ultra 7 processor with AI NPU, and discrete RTX 4050 GPU.","/products/dell-xps14-front.webp","/products/dell-xps14-side.webp","/products/dell-xps14-back.webp"
"LAP-203","Dell Alienware m16 R2 Gaming Laptop (2024)","Dell","Laptops","4600","16GB RAM / 1TB SSD (+AED 0) | 32GB RAM / 1TB SSD / RTX 4070 (+AED 900) | 64GB RAM / 2TB SSD (+AED 2200)","Dark Metallic Moon","Intel Core Ultra 7 / 9 gaming laptop with RTX 4070 & 240Hz QHD+ screen.","Redesigned Alienware chassis with Stealth Mode key, Cryo-tech cooling system, Intel Core Ultra processors, RTX 4070 graphics, and 240Hz QHD+ display.","/products/alienware-m16r2-front.webp","/products/alienware-m16r2-side.webp","/products/alienware-m16r2-back.webp"
"LAP-204","Dell XPS 13 Plus 9320 (2023)","Dell","Laptops","3100","16GB RAM / 512GB SSD (+AED 0) | 32GB RAM / 1TB SSD (+AED 750)","Platinum, Graphite","Futuristic 13.4-inch 3.5K OLED touch ultrabook with capacitive function row.","Futuristic borderless glass design, hidden haptic touchpad, zero-lattice keyboard, capacitive touch function row, and 3.5K OLED touchscreen.","/products/dell-xps13plus-front.webp","/products/dell-xps13plus-side.webp","/products/dell-xps13plus-back.webp"
