Product ID,Product Name,Brand,Category,Base Price (AED),Variants & Specs,Available Colors,Image Placeholder
"P101","iPhone 15 Pro Max","Apple","Smartphones","3200","256GB / 512GB / 1TB","Black Titanium, Natural Titanium, White Titanium","/products/iphone 17 pro max 💖.jpg"
"P102","iPhone 15 Pro","Apple","Smartphones","2800","128GB / 256GB / 512GB / 1TB","Black Titanium, Natural Titanium, White Titanium","/products/iphone (3).jpg"
"P103","iPhone 15","Apple","Smartphones","2000","128GB / 256GB / 512GB","Black, Blue, Green, Yellow, Pink","/products/iphone (6).jpg"
"P104","Galaxy S24 Ultra","Samsung","Smartphones","3000","256GB / 512GB / 1TB","Titanium Black, Titanium Gray, Titanium Violet","/products/samsung (1).jpg"
"P105","Galaxy S24+","Samsung","Smartphones","2200","256GB / 512GB","Onyx Black, Marble Gray, Cobalt Violet","/products/samsung (4).jpg"
"P201","HP Spectre x360 14","HP","Laptops","3200","16GB RAM / 512GB SSD | 16GB / 1TB SSD","Nightfall Black, Slate Blue","/products/hp-spectre.webp"
"P202","HP OMEN 16 Gaming Laptop","HP","Laptops","3500","16GB RAM / 512GB SSD | 32GB / 1TB SSD","Shadow Black","/products/hp-omen16.webp"
"P203","Lenovo ThinkPad X1 Carbon Gen 11","Lenovo","Laptops","3800","16GB RAM / 512GB SSD | 32GB / 1TB SSD","Deep Black Carbon","/products/lenovo-thinkpad.webp"
"P204","Lenovo Legion Pro 5","Lenovo","Laptops","3400","16GB RAM / 512GB SSD | 16GB / 1TB SSD","Onyx Grey","/products/lenovo-legion.webp"
"P205","Asus ROG Zephyrus G14","Asus","Laptops","3900","16GB RAM / 1TB SSD | 32GB / 1TB SSD","Eclipse Gray, Moonlight White","/products/asus-zephyrus.webp"
"P206","Asus Zenbook 14 OLED","Asus","Laptops","2700","16GB RAM / 512GB SSD | 16GB / 1TB SSD","Ponder Blue, Foggy Silver","/products/asus-zenbook.webp"
"P301","iPad Pro 13 (M4 Chip)","Apple","Tablets","3800","256GB / 512GB / 1TB","Space Black, Silver","/products/ipad-pro-m4.webp"
"P302","iPad Air 11 (M2 Chip)","Apple","Tablets","2100","128GB / 256GB / 512GB","Space Gray, Starlight, Purple","/products/ipad-air-m2.webp"
"P303","iPad Mini 6","Apple","Tablets","1500","64GB / 256GB","Space Gray, Pink, Purple","/products/ipad-mini-6.webp"
"P304","Galaxy Tab S9 Ultra","Samsung","Tablets","2200","256GB / 512GB / 1TB","Graphite, Beige","/products/samsung-tab-s9.webp"
"P305","Microsoft Surface Pro 9","Microsoft","Tablets","2800","256GB / 512GB / 1TB","Platinum, Sapphire, Forest","/products/surface-pro-9.webp"
"P401","PlayStation 5 Slim","Sony","Games","1400","1TB SSD","White / Black","/products/ps5-slim.webp"
"P402","Xbox Series X","Microsoft","Games","1300","1TB SSD","Matte Black","/products/xbox-series-x.webp"
"P403","Nintendo Switch OLED","Nintendo","Games","850","64GB","White, Neon Red/Blue","/products/nintendo-switch-oled.webp"
"P404","Asus ROG Ally X","Asus","Games","2200","1TB SSD","Black","/products/asus-rog-ally-x.webp"
"P501","Samsung Neo QLED 65" 4K TV","Samsung","TVs","2900","65-Inch 4K Mini LED","Titan Black","/products/samsung-neo-qled.webp"
"P502","LG C3 OLED 55" 4K TV","LG","TVs","3100","55-Inch OLED 4K 120Hz","Dark Titan","/products/lg-c3-oled.webp"
"P503","Sony BRAVIA XR 65" OLED TV","Sony","TVs","3300","65-Inch Cognitive OLED","Black","/products/sony-bravia-xr.webp"
