Product ID,Product Name,Brand,Category,Base Price (AED),Storage / Spec Variants & Boosts,Available Colors / Editions,Short Description,Full Description,Front View Image Path,Side View Image Path,Back View Image Path
"GAME-001","PlayStation 5 Pro","Sony","Games","2600","2TB SSD (+AED 0)","White / Black","Ultimate 4K 60FPS gaming with PSSR AI Upscaling & 2TB SSD.","The most powerful PlayStation console ever built. Features upgraded GPU, Advanced Ray Tracing, PlayStation Spectral Super Resolution (PSSR), and 2TB high-speed SSD.","/products/ps5-pro-front.webp","/products/ps5-pro-side.webp","/products/ps5-pro-back.webp"
"GAME-002","PlayStation 5 Slim (Disc Edition)","Sony","Games","1550","1TB SSD (+AED 0)","White","Compact PS5 console with Ultra HD Blu-ray Disc Drive & 1TB SSD.","Packed with powerful gaming tech inside a sleek, compact design. Ultra-high speed 1TB SSD, 4K 120Hz support, DualSense haptic feedback, and Ultra HD Blu-ray Disc Drive.","/products/ps5-slim-disc-front.webp","/products/ps5-slim-disc-side.webp","/products/ps5-slim-disc-back.webp"
"GAME-003","PlayStation 5 Slim (Digital Edition)","Sony","Games","1350","1TB SSD (+AED 0)","White","All-digital PS5 Slim console with 1TB SSD storage.","Experience lightning-fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio.","/products/ps5-slim-digital-front.webp","/products/ps5-slim-digital-side.webp","/products/ps5-slim-digital-back.webp"
"GAME-004","PlayStation 4 Pro","Sony","Games","650","1TB HDD (+AED 0)","Jet Black, Glacier White","Dynamic 4K gaming and 1080p remote play console.","PS4 Pro delivers enhanced resolution, graphics, and performance for your favorite PS4 games with 4K display output.","/products/ps4-pro-front.webp","/products/ps4-pro-side.webp","/products/ps4-pro-back.webp"
"GAME-005","PlayStation VR2 (PS VR2)","Sony","Games","1200","Standard Edition (+AED 0)","White / Black","Next-gen virtual reality headset for PS5 with 4K HDR visuals.","Escape into worlds that feel, look, and sound real. Features 4K HDR displays, 110-degree field of view, eye tracking, and subtle headset vibrations.","/products/psvr2-front.webp","/products/psvr2-side.webp","/products/psvr2-back.webp"
"GAME-006","Xbox Series X (1TB Digital Edition)","Microsoft","Games","1450","1TB SSD (+AED 0) | 2TB Galaxy Black (+AED 300)","Robot White, Galaxy Black","12 Teraflops 4K gaming console with 1TB SSD & Quick Resume.","Experience true 4K gaming at up to 120 FPS, 3D Spatial Audio, and 12 Teraflops of raw processing power with Xbox Velocity Architecture.","/products/xbox-series-x-front.webp","/products/xbox-series-x-side.webp","/products/xbox-series-x-back.webp"
"GAME-007","Xbox Series S","Microsoft","Games","750","512GB SSD (+AED 0) | 1TB SSD Black (+AED 150)","Robot White, Carbon Black","All-digital 1440p next-gen Xbox in a compact size.","Go all-digital with the smallest, sleekest Xbox console ever. Enjoy next-gen speed and performance with Xbox Velocity Architecture.","/products/xbox-series-s-front.webp","/products/xbox-series-s-side.webp","/products/xbox-series-s-back.webp"
"GAME-008","Nintendo Switch OLED Model","Nintendo","Games","850","64GB Internal (+AED 0)","White, Neon Red/Neon Blue, Mario Red Edition","Vibrant 7-inch OLED screen handheld & TV console.","Feast your eyes on vivid colors and crisp contrast when you play on the go. Features a wide adjustable stand, a dock with a wired LAN port, 64GB storage, and enhanced audio.","/products/switch-oled-front.webp","/products/switch-oled-side.webp","/products/switch-oled-back.webp"
"GAME-009","Nintendo Switch Lite","Nintendo","Games","450","32GB Internal (+AED 0)","Turquoise, Yellow, Coral, Gray, Blue","Compact, lightweight handheld-only Nintendo Switch system.","Dedicated to handheld play. Small and light, with a built-in control pad and sleek unibody design.","/products/switch-lite-front.webp","/products/switch-lite-side.webp","/products/switch-lite-back.webp"
"GAME-010","Steam Deck OLED","Valve","Games","1700","512GB NVMe (+AED 0) | 1TB NVMe (+AED 300)","Black","7.4-inch 90Hz HDR OLED handheld gaming PC by Valve.","The premier portable gaming PC. Features a custom 6nm AMD APU, 7.4-inch 90Hz HDR OLED display, faster Wi-Fi 6E, and 50Wh long-life battery.","/products/steamdeck-oled-front.webp","/products/steamdeck-oled-side.webp","/products/steamdeck-oled-back.webp"
"GAME-011","ASUS ROG Ally X","Asus","Games","2200","1TB M.2 NVMe SSD (+AED 0)","Black","Windows 11 gaming handheld PC with AMD Ryzen Z1 Extreme & 80Wh battery.","Play all your PC games on the go with Windows 11 Home, AMD Ryzen Z1 Extreme processor, 24GB LPDDR5X RAM, and a massive 80Wh battery.","/products/rog-ally-x-front.webp","/products/rog-ally-x-side.webp","/products/rog-ally-x-back.webp"
"GAME-012","Lenovo Legion Go","Lenovo","Games","1950","512GB SSD (+AED 0) | 1TB SSD (+AED 250)","Shadow Black","8.8-inch 144Hz QHD+ detachable controller gaming handheld.","Unmatched versatility with detachable Legion TrueStrike controllers, FPS mode, 8.8-inch 144Hz QHD+ display, and AMD Ryzen Z1 Extreme processor.","/products/legion-go-front.webp","/products/legion-go-side.webp","/products/legion-go-back.webp"
"GAME-013","MSI Claw A1M","MSI","Games","1600","512GB SSD (+AED 0) | 1TB SSD (+AED 200)","Black","Intel Core Ultra 7 handheld PC with 120Hz FHD screen.","Ergonomic handheld gaming PC powered by Intel Core Ultra 7 processors, XeSS upscaling, 120Hz display, and Cooler Boost HyperFlow technology.","/products/msi-claw-front.webp","/products/msi-claw-side.webp","/products/msi-claw-back.webp"
"GAME-014","Meta Quest 3 (VR Headset)","Meta","Games","1400","128GB (+AED 0) | 512GB (+AED 350)","White","Breakthrough mixed reality VR headset with Snapdragon XR2 Gen 2.","Transform your home into a virtual playground where virtual elements blend with your physical space. Features 4K+ Infinite Display resolution.","/products/meta-quest3-front.webp","/products/meta-quest3-side.webp","/products/meta-quest3-back.webp"
